Percentile,Age,cohort,value,data_source,Asset
5,30,low-1925,NA,DYNASIM,Retirement Account Assets
5,31,low-1925,NA,DYNASIM,Retirement Account Assets
5,32,low-1925,NA,DYNASIM,Retirement Account Assets
5,33,low-1925,NA,DYNASIM,Retirement Account Assets
5,34,low-1925,NA,DYNASIM,Retirement Account Assets
5,35,low-1925,NA,DYNASIM,Retirement Account Assets
5,36,low-1925,NA,DYNASIM,Retirement Account Assets
5,37,low-1925,NA,DYNASIM,Retirement Account Assets
5,38,low-1925,NA,DYNASIM,Retirement Account Assets
5,39,low-1925,NA,DYNASIM,Retirement Account Assets
5,40,low-1925,NA,DYNASIM,Retirement Account Assets
5,41,low-1925,NA,DYNASIM,Retirement Account Assets
5,42,low-1925,NA,DYNASIM,Retirement Account Assets
5,43,low-1925,NA,DYNASIM,Retirement Account Assets
5,44,low-1925,NA,DYNASIM,Retirement Account Assets
5,45,low-1925,NA,DYNASIM,Retirement Account Assets
5,46,low-1925,NA,DYNASIM,Retirement Account Assets
5,47,low-1925,NA,DYNASIM,Retirement Account Assets
5,48,low-1925,NA,DYNASIM,Retirement Account Assets
5,49,low-1925,NA,DYNASIM,Retirement Account Assets
5,50,low-1925,NA,DYNASIM,Retirement Account Assets
5,51,low-1925,NA,DYNASIM,Retirement Account Assets
5,52,low-1925,NA,DYNASIM,Retirement Account Assets
5,53,low-1925,NA,DYNASIM,Retirement Account Assets
5,54,low-1925,NA,DYNASIM,Retirement Account Assets
5,55,low-1925,NA,DYNASIM,Retirement Account Assets
5,56,low-1925,NA,DYNASIM,Retirement Account Assets
5,57,low-1925,NA,DYNASIM,Retirement Account Assets
5,58,low-1925,NA,DYNASIM,Retirement Account Assets
5,59,low-1925,NA,DYNASIM,Retirement Account Assets
5,60,low-1925,NA,DYNASIM,Retirement Account Assets
5,61,low-1925,NA,DYNASIM,Retirement Account Assets
5,62,low-1925,NA,DYNASIM,Retirement Account Assets
5,63,low-1925,NA,DYNASIM,Retirement Account Assets
5,64,low-1925,NA,DYNASIM,Retirement Account Assets
5,65,low-1925,NA,DYNASIM,Retirement Account Assets
5,66,low-1925,NA,DYNASIM,Retirement Account Assets
5,67,low-1925,0,DYNASIM,Retirement Account Assets
5,68,low-1925,0,DYNASIM,Retirement Account Assets
5,69,low-1925,0,DYNASIM,Retirement Account Assets
5,70,low-1925,0,DYNASIM,Retirement Account Assets
5,71,low-1925,0,DYNASIM,Retirement Account Assets
5,72,low-1925,0,DYNASIM,Retirement Account Assets
5,73,low-1925,0,DYNASIM,Retirement Account Assets
5,74,low-1925,0,DYNASIM,Retirement Account Assets
5,75,low-1925,0,DYNASIM,Retirement Account Assets
5,76,low-1925,0,DYNASIM,Retirement Account Assets
5,77,low-1925,0,DYNASIM,Retirement Account Assets
5,78,low-1925,0,DYNASIM,Retirement Account Assets
5,79,low-1925,0,DYNASIM,Retirement Account Assets
5,80,low-1925,0,DYNASIM,Retirement Account Assets
5,81,low-1925,0,DYNASIM,Retirement Account Assets
5,82,low-1925,0,DYNASIM,Retirement Account Assets
5,83,low-1925,0,DYNASIM,Retirement Account Assets
5,84,low-1925,0,DYNASIM,Retirement Account Assets
5,85,low-1925,0,DYNASIM,Retirement Account Assets
5,86,low-1925,0,DYNASIM,Retirement Account Assets
5,87,low-1925,0,DYNASIM,Retirement Account Assets
5,88,low-1925,0,DYNASIM,Retirement Account Assets
5,89,low-1925,0,DYNASIM,Retirement Account Assets
5,90,low-1925,0,DYNASIM,Retirement Account Assets
5,91,low-1925,0,DYNASIM,Retirement Account Assets
5,92,low-1925,0,DYNASIM,Retirement Account Assets
10,30,low-1925,NA,DYNASIM,Retirement Account Assets
10,31,low-1925,NA,DYNASIM,Retirement Account Assets
10,32,low-1925,NA,DYNASIM,Retirement Account Assets
10,33,low-1925,NA,DYNASIM,Retirement Account Assets
10,34,low-1925,NA,DYNASIM,Retirement Account Assets
10,35,low-1925,NA,DYNASIM,Retirement Account Assets
10,36,low-1925,NA,DYNASIM,Retirement Account Assets
10,37,low-1925,NA,DYNASIM,Retirement Account Assets
10,38,low-1925,NA,DYNASIM,Retirement Account Assets
10,39,low-1925,NA,DYNASIM,Retirement Account Assets
10,40,low-1925,NA,DYNASIM,Retirement Account Assets
10,41,low-1925,NA,DYNASIM,Retirement Account Assets
10,42,low-1925,NA,DYNASIM,Retirement Account Assets
10,43,low-1925,NA,DYNASIM,Retirement Account Assets
10,44,low-1925,NA,DYNASIM,Retirement Account Assets
10,45,low-1925,NA,DYNASIM,Retirement Account Assets
10,46,low-1925,NA,DYNASIM,Retirement Account Assets
10,47,low-1925,NA,DYNASIM,Retirement Account Assets
10,48,low-1925,NA,DYNASIM,Retirement Account Assets
10,49,low-1925,NA,DYNASIM,Retirement Account Assets
10,50,low-1925,NA,DYNASIM,Retirement Account Assets
10,51,low-1925,NA,DYNASIM,Retirement Account Assets
10,52,low-1925,NA,DYNASIM,Retirement Account Assets
10,53,low-1925,NA,DYNASIM,Retirement Account Assets
10,54,low-1925,NA,DYNASIM,Retirement Account Assets
10,55,low-1925,NA,DYNASIM,Retirement Account Assets
10,56,low-1925,NA,DYNASIM,Retirement Account Assets
10,57,low-1925,NA,DYNASIM,Retirement Account Assets
10,58,low-1925,NA,DYNASIM,Retirement Account Assets
10,59,low-1925,NA,DYNASIM,Retirement Account Assets
10,60,low-1925,NA,DYNASIM,Retirement Account Assets
10,61,low-1925,NA,DYNASIM,Retirement Account Assets
10,62,low-1925,NA,DYNASIM,Retirement Account Assets
10,63,low-1925,NA,DYNASIM,Retirement Account Assets
10,64,low-1925,NA,DYNASIM,Retirement Account Assets
10,65,low-1925,NA,DYNASIM,Retirement Account Assets
10,66,low-1925,NA,DYNASIM,Retirement Account Assets
10,67,low-1925,0.021,DYNASIM,Retirement Account Assets
10,68,low-1925,0.026,DYNASIM,Retirement Account Assets
10,69,low-1925,0.025,DYNASIM,Retirement Account Assets
10,70,low-1925,0.023,DYNASIM,Retirement Account Assets
10,71,low-1925,0.023,DYNASIM,Retirement Account Assets
10,72,low-1925,0.022,DYNASIM,Retirement Account Assets
10,73,low-1925,0.014,DYNASIM,Retirement Account Assets
10,74,low-1925,0.014,DYNASIM,Retirement Account Assets
10,75,low-1925,0.014,DYNASIM,Retirement Account Assets
10,76,low-1925,0.016,DYNASIM,Retirement Account Assets
10,77,low-1925,0.014,DYNASIM,Retirement Account Assets
10,78,low-1925,0.015,DYNASIM,Retirement Account Assets
10,79,low-1925,0.011,DYNASIM,Retirement Account Assets
10,80,low-1925,0.013,DYNASIM,Retirement Account Assets
10,81,low-1925,0.01,DYNASIM,Retirement Account Assets
10,82,low-1925,0.01,DYNASIM,Retirement Account Assets
10,83,low-1925,0.009,DYNASIM,Retirement Account Assets
10,84,low-1925,0.008,DYNASIM,Retirement Account Assets
10,85,low-1925,0.011,DYNASIM,Retirement Account Assets
10,86,low-1925,0.011,DYNASIM,Retirement Account Assets
10,87,low-1925,0.011,DYNASIM,Retirement Account Assets
10,88,low-1925,0.009,DYNASIM,Retirement Account Assets
10,89,low-1925,0.008,DYNASIM,Retirement Account Assets
10,90,low-1925,0.008,DYNASIM,Retirement Account Assets
10,91,low-1925,0.01,DYNASIM,Retirement Account Assets
10,92,low-1925,0.012,DYNASIM,Retirement Account Assets
20,30,low-1925,NA,DYNASIM,Retirement Account Assets
20,31,low-1925,NA,DYNASIM,Retirement Account Assets
20,32,low-1925,NA,DYNASIM,Retirement Account Assets
20,33,low-1925,NA,DYNASIM,Retirement Account Assets
20,34,low-1925,NA,DYNASIM,Retirement Account Assets
20,35,low-1925,NA,DYNASIM,Retirement Account Assets
20,36,low-1925,NA,DYNASIM,Retirement Account Assets
20,37,low-1925,NA,DYNASIM,Retirement Account Assets
