Age,cohort,data_source,10th Percentile,20th Percentile,30th Percentile,40th Percentile,5th percentile,50th Percentile,60th Percentile,70th Percentile,80th Percentile,90th Percentile,95th Percentile,98th Percentile,Mean
19,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1961-1965,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1966-1970,SCF,0,0.001,0.001,0.01,-0.1,0.149,0.159,0.308,0.308,0.746,2.182,6.94,0.498
19,1971-1975,SCF,-0.005,0,0.004,0.031,-0.086,0.105,0.172,0.248,0.529,2.18,2.468,4.984,0.814
19,1976-1980,SCF,-0.05,0,0.021,0.089,-0.125,0.15,0.239,0.426,1.144,2.267,4.459,8.626,0.852
19,1981+,SCF,-0.065,0,0.006,0.041,-0.213,0.1,0.174,0.25,0.381,0.763,1.411,3.66,0.542
19,All,SCF,-0.03,0,0.008,0.043,-0.131,0.126,0.186,0.308,0.591,1.489,2.63,6.053,0.677
19,low-1925,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1961-1965,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1966-1970,SCF,-0.025,0.001,0.001,0.057,-0.219,0.128,0.182,0.308,0.4,0.861,2.182,6.94,0.509
20,1971-1975,SCF,-0.115,-0.005,0,0.038,-0.161,0.089,0.157,0.236,0.581,1.672,2.42,8.225,0.694
20,1976-1980,SCF,-0.051,0,0.021,0.091,-0.296,0.165,0.236,0.346,0.631,1.964,3.212,8.626,0.693
20,1981+,SCF,-0.138,-0.011,0.002,0.035,-0.242,0.09,0.146,0.249,0.381,0.847,1.677,3.721,0.569
20,All,SCF,-0.082,-0.004,0.006,0.055,-0.23,0.118,0.18,0.285,0.498,1.336,2.373,6.878,0.616
20,low-1925,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1926-1930,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1931-1935,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1936-1940,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1941-1945,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1946-1950,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1951-1955,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1956-1960,SCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
